year,id,opening,rrh,timebin,wolf
1900,KW 1087 A 38,1,0,2,0
1900,KW GW P100847,0,0,2,0
1900,KW XKZ 1823,0,1,2,1
1900,KW SMC K 2114,1,0,2,0
1900,KW GW P100799,0,0,2,1
1900,KW XKW 1401,1,0,2,0
1900,KW XKZ 0143,0,1,2,0
1900,KW Ki 4905,1,0,2,1
1900,KW BJ 25722,1,0,2,0
1900,KW 1087 A 27,0,0,2,1
1904,KW XKZ 1543,1,0,3,0
1905,KW Ki 3427,1,0,3,1
1905,KW NOM ZA 14 A-2,0,0,3,0
1905,KW NOM ZA 14 A,1,0,3,1
1906,KW Ki 6735,1,0,3,1
1906,NBM Mfm 701 400007,0,1,3,0
1907,KW Ki 3885,0,1,3,0
1907,KW XKR 1476,1,0,3,0
1908,KW Ki 4138,1,0,3,0
1909,KW XKN 306,0,1,3,1
1909,KW Ki 4040,0,0,3,0
1909,KW 1087 A 34,1,0,3,0
1910,KW XKZ 0458,0,1,3,0
1910,KW Ki 6614,1,0,3,0
1910,KW XKR 7183,1,0,3,1
1910,KW Ki 6002,0,1,3,0
1910,KW BJ Z1811,0,1,3,0
1910,KW XKW 3181,0,1,3,0
1910,KW XKZ 0055,1,0,3,0
1910,KW XKW 2089,1,0,3,1
1910,KW XKW 2950,1,0,3,0
1910,KW XKW 2972,1,0,3,1
1910,KW XKW 2389,1,0,3,1
1910,KW Ki 2748,1,0,3,0
1911,Borms 0284,0,1,3,0
1911,KW BJ 25723,1,0,3,1
1912,KW BJ 52072,1,0,3,1
1912,KW Ki 8628,1,0,3,1
1913,KW BJ 01920,1,0,3,1
1914,KW BJ 00123,1,0,3,0
1916,KW BJ 52069,1,0,3,1
1917,KW BJ 25759,0,0,3,0
1918,KW Ki 5533,0,0,3,0
1919,KW Ki 1867,1,0,3,1
1919,XKZZ 109,1,0,3,1
1919,KW XZZ 065,0,1,3,0
1920,KW XKR 1949,0,1,3,0
1920,KW XKN 167,0,1,3,0
1920,KW XKR 0948,0,0,3,1
1920,KW BJ Z0235,1,0,3,0
1920,KW XKR 9255,0,1,3,1
1920,KW XKZZ 101,1,0,3,0
1920,KW XKN 313,1,0,3,1
1920,KW XKR 1422,0,1,3,1
1920,KW XKR 2114,0,1,3,1
1920,KW BJ Z0550,1,0,3,0
1920,KW BJ 26561,1,0,3,1
1920,KW BJ Z1842,1,0,3,0
1920,KW XKP 588,1,0,3,1
1920,NBM Mfe 24774,1,0,3,0
1920,KW XKZ 0533,1,0,3,1
1920,KW XKZ 0701,1,0,3,0
1920,KW BJ 53276,0,1,3,1
1920,KW XKR 2408,1,0,3,0
1920,KW XKE 799,0,0,3,0
1920,KW XKR 1356,1,0,3,0
1920,KW GW A104682,1,0,3,1
1920,KW XKW 3125,1,0,3,0
1920,KW BJ Z2007,0,0,3,1
1925,NBM Mfe 24338,1,0,3,0
1929,KW BJ 53000,1,0,3,0
1930,KW GW A100156,1,0,3,0
1930,KW XKZ 0531,1,0,3,0
1930,KW BJ 10252,1,0,3,0
1930,KW XKZ 1761,1,0,3,0
1930,KW BJ Z0306,1,0,3,1
1930,KW SMC K 2140,0,0,3,0
1930,KW XKR 9761,0,0,3,1
1930,KW XKR 6917,0,0,3,1
1930,KW XKW 0617,0,1,3,1
1932,KW XKZ 1238,1,0,3,1
1932,KW GW A100253,1,0,3,0
1934,KW XKR 4807,1,0,3,0
1935,KW XKZ 0177,0,1,3,1
1936,KW XKP 242,1,0,3,0
1937,KW 1087 A 117,1,0,3,1
1937,KW XKZ 0045,0,0,3,0
1940,KW XKZ 0652,0,0,3,0
1940,KW XKD 710,1,0,3,1
1940,KW Ki 2003,0,1,3,0
1942,KW XKW 2039,0,1,3,1
1943,KW XKP 457,0,0,3,1
1943,KW XKR 5389,0,0,3,1
1943,KW XKW 0422,0,1,3,1
1943,KW BJ 03351,1,0,3,0
1943,KW XKR 2633,1,0,3,1
1943,KW BJ 50438,0,1,3,1
1943,KW BJ 52086,1,0,3,1
1945,KW Ki 1134,1,0,3,1
1945,KW GW A100123,1,0,3,1
1945,KW GW A103915,1,0,3,1
1946,NBM Mfe 25168,1,0,3,0
1946,KW XKE 874,0,1,3,1
1947,KW BJ Z5339,0,0,3,0
1948,KW XKR 8185,0,0,3,1
1948,KW XKB 984,1,0,3,0
1948,KW XKP 821,1,0,3,0
1948,KW BJ 51575,1,0,3,1
1950,KW XKZ 0207,0,1,3,0
1950,KW XKZ 0263,0,0,3,0
1950,KW XKE 500,0,0,3,0
1950,KW Kluitman 43,1,0,3,0
1950,KW XKP 715,0,1,3,1
1950,KW XKN 214,1,0,3,1
1950,KW XKR 4718,0,0,3,0
1950,KW XKR 2228,1,0,3,0
1950,KW XKP 415,0,1,3,1
1950,KW XKR 3110,0,1,3,1
1951,KW XKR 3019,1,0,4,1
1951,KW XKR 3306,1,0,4,0
1952,KW XKR 1762,1,0,4,0
1953,KW XKD 768,0,1,4,0
1953,KW GW A100302,1,0,4,1
1953,KW XKZ 0449,0,1,4,0
1955,KW BJ 51756,0,0,4,1
1956,KW XKZ 1829,1,0,4,0
1957,KW BJ 53228,1,0,4,1
1957,KW BJ 52022,0,0,4,1
1957,KW BJ 25857,1,0,4,0
1958,KW BJ 52568,1,0,4,1
1958,KW XKR 0479,1,0,4,1
1959,KW XKR 4352,1,0,4,0
1959,KW BJ 26074,1,0,4,0
1960,KW XKW 3362,1,0,4,0
1960,KW BJ 02940,1,0,4,1
1960,KW XKR 3599,1,0,4,0
1960,KW XKZ 0950,0,0,4,0
1960,KW XKZ 1671,1,0,4,0
1960,KW XKZ 1517,1,0,4,1
1960,KW XKR 1852,1,0,4,1
1960,KW XKR 6242,0,0,4,1
1960,KW XKE 686,0,1,4,1
1960,KW XKZ 1151,1,0,4,0
1962,KW BJ 51879,1,0,4,1
1962,KW BJ 52782,1,0,4,0
1963,KW BJ 53171,1,0,4,1
1966,KW BJ 53173,1,0,4,1
1967,KW BJ 52023,0,0,4,1
1967,KW XKR 3230,1,0,4,0
1968,KW XKR 1354,0,0,4,1
1968,KW XKR 1506,0,0,4,0
1969,KW XKR 8067,1,0,4,0
1970,KW BJ 53172,0,1,4,1
1970,KW XKR 9836,1,0,4,1
1970,KW XKR 9864,1,0,4,1
1970,KW XKR 0951,1,0,4,0
1970,KW XKY 493,1,0,4,1
1970,KW BJ 02934,1,0,4,0
1971,KW BJ 53347,1,0,4,1
1971,KW XKR 4015,1,0,4,0
1971,KW BJ 53056,1,0,4,0
1973,KW BJ 51957,1,0,4,1
1973,KW BJ 52843,1,0,4,1
1973,KW XKR 5554,1,0,4,0
1973,KW XKR 3603,0,0,4,1
1974,VD 40019 6,1,0,4,0
1974,KW Ki 6009,0,1,4,1
1974,KW BJ 53081,1,0,4,1
1974,KW XKR 6120,0,1,4,0
1975,VD 940 6-1,0,0,4,0
1975,FE 1975 45,1,0,4,0
1975,VE 40013 2,1,0,4,1
1975,FD 1976 40104,0,1,4,1
1976,FF 1977 4,1,0,4,1
1976,FF 1976 40005,0,0,4,1
1976,FD 1976 369,1,0,4,1
