id,year,opening,rrh,timebin,wolf,author,book_type,picture_rrh,picture_wolf,rrh_new,any_picture_wolf,any_picture_rrh,wolf_cover,rrh_cover,length,genre,reprint,year_corrected,exact_date
KW XKW 2950,1910,1,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,282,verhaal,no,1915,False
KW XKW 2972,1910,1,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,403,verhaal,no,1915,False
KW XKW 2389,1910,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,1,1,652,verhaal,no,1915,False
KW Ki 2748,1910,1,0.0,3,0,Hapax,verhaal,0,0,0.0,0,0,0,0,1638,verhaal,no,1915,False
Borms 0284,1911,0,1.0,3,0,Anonymous,picture book,1,1,1.0,1,1,0,0,282,picture story,yes,1923,False
KW BJ 25723,1911,1,0.0,3,1,Anonymous,verhaal,0,1,0.0,1,1,0,0,937,verhaal,no,1911,True
KW BJ 52072,1912,1,0.0,3,1,Christine Doorman,verhaal,0,0,0.0,0,1,0,1,1714,verhaal,no,1912,True
KW Ki 8628,1912,1,0.0,3,1,Hapax,verhaal,0,0,0.0,1,1,0,0,1202,verhaal,no,1912,True
KW BJ 01920,1913,1,0.0,3,1,Hapax,verhaal,0,0,0.0,1,1,0,0,1693,verhaal,no,1913,True
KW BJ 00123,1914,1,0.0,3,0,Henriëtte Sophia Blaauw-Van den Dries,verhaal,0,0,0.0,1,1,0,0,823,verhaal,no,1914,True
KW BJ 52069,1916,1,0.0,3,1,Christine Doorman,verhaal,1,0,0.0,0,1,0,0,2132,verhaal,no,1916,True
KW BJ 25759,1917,0,0.0,3,0,Hapax,verhaal,1,1,0.0,1,1,0,0,9142,verhaal,no,1917,True
KW Ki 5533,1918,0,0.0,3,0,Henriëtte Sophia Blaauw-Van den Dries,verhaal,0,0,0.0,0,0,0,0,1591,verhaal,no,1918,True
KW Ki 1867,1919,1,0.0,3,1,Henriëtte Sophia Blaauw-Van den Dries,verhaal,0,0,0.0,1,1,0,0,415,verhaal,no,1914,True
XKZZ 109,1919,1,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,605,verhaal,no,1919,True
KW XZZ 065,1919,0,1.0,3,0,Anonymous,verhaal,0,0,1.0,1,1,0,0,2562,verhaal,no,1919,True
KW XKR 1949,1920,0,1.0,3,0,Hapax,(rijmend) gedicht,0,0,1.0,1,1,0,0,261,(rijmend) gedicht,no,1925,False
KW XKN 167,1920,0,1.0,3,0,Anonymous,verhaal,0,0,1.0,0,0,0,0,464,verhaal,yes,1925,False
KW XKR 0948,1920,0,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,4210,verhaal,no,1925,False
KW BJ Z0235,1920,1,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,947,verhaal,no,1925,False
KW XKR 9255,1920,0,1.0,3,1,Anonymous,picture book,1,1,1.0,1,1,0,0,67,picture book,no,1920,False
KW XKZZ 101,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,765,verhaal,no,1925,False
KW XKN 313,1920,1,0.0,3,1,Hapax,verhaal,0,0,0.0,1,1,0,0,1068,verhaal,no,1925,False
KW XKR 1422,1920,0,1.0,3,1,Anonymous,verhaal,0,0,1.0,1,1,0,0,136,verhaal,no,1925,False
KW XKR 2114,1920,0,1.0,3,1,Anonymous,(rijmend) gedicht,1,1,1.0,1,1,0,0,365,(rijmend) gedicht,no,1925,False
KW BJ Z0550,1920,1,0.0,3,0,Henriëtte Sophia Blaauw-Van den Dries,verhaal,1,1,0.0,1,1,0,0,1334,verhaal,no,1920,False
KW BJ 26561,1920,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,943,verhaal,yes,1925,False
KW BJ Z1842,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,1307,verhaal,no,1925,False
KW XKP 588,1920,1,0.0,3,1,Hapax,verhaal,0,0,0.0,1,1,0,0,972,verhaal,yes,1925,False
NBM Mfe 24774,1920,1,0.0,3,0,Hapax,verhaal,0,0,0.0,0,0,0,0,1888,verhaal,no,1920,False
KW XKZ 0533,1920,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,1188,verhaal,no,1925,False
KW XKZ 0701,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,1,0,0,536,verhaal,no,1925,False
KW BJ 53276,1920,0,1.0,3,1,Hapax,verhaal,1,1,1.0,1,1,0,0,80,verhaal,no,1925,False
KW XKR 2408,1920,1,0.0,3,0,Anonymous,verhaal,1,0,0.0,1,1,0,0,1004,verhaal,no,1925,False
KW XKE 799,1920,0,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,687,verhaal,no,1925,False
KW XKR 1356,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,1,0,1,655,verhaal,no,1925,False
KW GW A104682,1920,1,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,860,verhaal,no,1925,False
KW XKW 3125,1920,1,0.0,3,0,Anonymous,verhaal,1,0,0.0,1,1,1,0,1082,verhaal,no,1925,False
KW BJ Z2007,1920,0,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,779,verhaal,no,1925,False
NBM Mfe 24338,1925,1,0.0,3,0,Hapax,verhaal,0,0,0.0,0,0,0,0,995,verhaal,no,1925,False
KW BJ 53000,1929,1,0.0,3,0,Hapax,verhaal,0,1,0.0,1,1,0,0,1575,verhaal,no,1929,False
KW GW A100156,1930,1,0.0,3,0,Marie Cramer,verhaal,1,0,0.0,0,1,0,0,2193,verhaal,no,1935,False
KW XKZ 0531,1930,1,0.0,3,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,546,verhaal,yes,1935,False
KW BJ 10252,1930,1,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,545,verhaal,no,1935,False
KW XKZ 1761,1930,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,1,1,0,0,8162,verhaal,no,1935,False
KW BJ Z0306,1930,1,0.0,3,1,Anonymous,picture book,1,1,0.0,1,1,0,0,716,picture story,no,1935,False
KW SMC K 2140,1930,0,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,1003,verhaal,yes,1930,False
KW XKR 9761,1930,0,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,1057,verhaal,no,1935,False
KW XKR 6917,1930,0,0.0,3,1,Anonymous,verhaal,0,1,0.0,1,1,0,0,756,verhaal,no,1935,False
KW XKW 0617,1930,0,1.0,3,1,Anonymous,verhaal,1,0,1.0,1,1,0,0,170,verhaal,no,1935,False
KW XKZ 1238,1932,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,845,verhaal,no,1932,False
KW GW A100253,1932,1,0.0,3,0,Christine Doorman,verhaal,1,0,0.0,0,1,0,0,2197,verhaal,yes,1920,True
KW XKR 4807,1934,1,0.0,3,0,Brugt Jan Douwes,verhaal,1,0,0.0,1,1,0,0,1299,verhaal,no,1934,True
KW XKZ 0177,1935,0,1.0,3,1,Walter Elias Disney,verhaal,1,0,1.0,1,1,0,0,1076,verhaal,no,1935,False
