id,year,opening,rrh,timebin,wolf,author,book_type,picture_rrh,picture_wolf,rrh_new,any_picture_wolf,any_picture_rrh,wolf_cover,rrh_cover,length
KW Ki 2153,1870,1,0.0,2,0,Agatha (1833-1893) pseud. van Reinoudina de Goeje,verhaal,0,1,0.0,1,1,0,0,1954
KW XKW 2955,1870,0,1.0,2,1,oom Bernard,verhaal,0,0,1.0,1,0,0,0,11
KW 1087 A 26,1872,1,0.0,2,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,911
NBM Mfe 3027,1875,0,0.0,2,0,Simon Jacobus Andriessen,verhaal,0,0,0.0,0,0,0,0,1169
NBM Mfm 700 300011,1878,1,0.0,2,0,Joan Christiaan Eleonor Gosler,verhaal,1,1,0.0,1,1,0,0,1112
KW NOM W 13,1880,0,0.0,2,0,J. Hoffmann,verhaal,0,0,0.0,1,1,0,0,895
KW BJ 25467,1880,0,0.0,2,1,Johan Jacob Antonie Goeverneur,verhaal,1,1,0.0,1,1,0,0,1384
Borms 0285,1880,0,1.0,2,0,Anonymous,picture book,1,1,1.0,1,1,0,0,282
KW SMC K 2133,1880,0,0.0,2,0,Simon Jacobus Andriessen,verhaal,0,0,0.0,1,1,0,0,1200
KW XKW 3144,1886,0,0.0,2,0,Anonymous,verhaal,0,0,0.0,0,1,0,1,398
KW SMC K 1072,1887,1,0.0,2,0,Agatha (1833-1893) pseud. van Reinoudina de Goeje,verhaal,1,1,0.0,1,1,0,0,599
NBM Mfe 6219,1888,1,0.0,2,1,Pieter Louwerse,verhaal,1,1,0.0,1,1,0,0,2911
KW BJ 48439,1889,0,1.0,2,1,Fredericus Hendrikus van Leent,(rijmend) gedicht,0,0,1.0,0,0,0,0,114
NBM Mfe 19093,1890,1,0.0,2,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,960
KW XKC 199,1890,0,1.0,2,0,Anonymous,verhaal,0,0,1.0,0,0,0,0,467
KW Ki 5105,1890,1,0.0,2,0,Carl Offterdinger,verhaal,0,0,0.0,1,1,0,0,892
KW BJ Z 2018,1890,1,0.0,2,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,524
KW SMC K 1196,1890,1,0.0,2,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,657
NBM Mfe 16087,1891,0,0.0,2,0,Fredericus Hendrikus van Leent,verhaal,1,0,0.0,1,1,0,0,721
KW NOM V 36 B,1892,1,0.0,2,1,Antoon S. Reule Nzn,verhaal,0,0,0.0,0,0,0,0,644
NBM Mfe 9851,1893,1,0.0,2,0,Agatha (1833-1893) pseud. van Reinoudina de Goeje,verhaal,1,0,0.0,1,1,0,0,682
NBM Mfm 701 400004,1893,1,0.0,2,0,Agatha (1833-1893) pseud. van Reinoudina de Goeje,verhaal,0,0,0.0,0,0,0,0,910
KW BJ 01926,1894,0,0.0,2,1,Johan Jacob Antonie Goeverneur,verhaal,0,0,0.0,0,0,0,0,1376
NBM Mfe 10595,1898,1,0.0,2,0,Tine van Berken,verhaal,0,1,0.0,1,1,0,0,997
KW 1087 A 38,1900,1,0.0,2,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,943
KW GW P100847,1900,0,0.0,2,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,373
KW XKZ 1823,1900,0,1.0,2,1,Dorrit Mohr,picture book,0,0,1.0,1,1,0,0,40
KW SMC K 2114,1900,1,0.0,2,0,Anonymous,(rijmend) gedicht,1,0,0.0,1,1,0,0,490
KW GW P100799,1900,0,0.0,2,1,Anonymous,verhaal,0,1,0.0,1,1,0,0,679
KW XKW 1401,1900,1,0.0,2,0,Anonymous,(rijmend) gedicht,1,1,0.0,1,1,0,0,809
KW XKZ 0143,1900,0,1.0,2,0,Pieter Louwerse,verhaal,0,0,1.0,0,0,0,0,218
KW Ki 4905,1900,1,0.0,2,1,Anonymous,verhaal,0,1,0.0,1,1,0,0,945
KW BJ 25722,1900,1,0.0,2,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,747
KW 1087 A 27,1900,0,0.0,2,1,Corrie,(rijmend) gedicht,0,0,1.0,0,0,0,0,141
KW XKZ 1543,1904,1,0.0,3,0,Arpad Schmidhammer,picture book,0,1,0.0,1,1,0,0,907
KW Ki 3427,1905,1,0.0,3,1,Arpad Schmidhammer,verhaal,1,1,0.0,1,1,0,0,922
KW NOM ZA 14 A-2,1905,0,0.0,3,0,Anonymous,(rijmend) gedicht,0,0,,0,0,0,0,67
KW NOM ZA 14 A,1905,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,1425
KW Ki 6735,1906,1,0.0,3,1,Nienke van Hichtum,picture book,1,1,0.0,1,1,0,0,879
NBM Mfm 701 400007,1906,0,1.0,3,0,Cornelia Broers-de Jonge,(rijmend) gedicht,0,0,1.0,0,0,0,0,377
KW Ki 3885,1907,0,1.0,3,0,Lothar Meggendorfer,picture book,1,1,1.0,1,1,0,0,928
KW XKR 1476,1907,1,0.0,3,0,Jan Pieter Heije,(rijmend) gedicht,0,0,0.0,0,0,0,0,2349
KW Ki 4138,1908,1,0.0,3,0,Alice Becht-Dentz,verhaal,1,1,0.0,1,1,0,0,575
KW XKN 306,1909,0,1.0,3,1,Joh. W. Kerkmeijer-Bakker,verhaal,1,1,1.0,1,1,0,0,208
KW Ki 4040,1909,0,0.0,3,0,Anonymous,verhaal,1,0,0.0,0,1,0,0,596
KW 1087 A 34,1909,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,1,1,0,0,336
KW XKZ 0458,1910,0,1.0,3,0,Anonymous,verhaal,1,0,1.0,0,1,0,0,469
KW Ki 6614,1910,1,0.0,3,0,Cornelia Broers-de Jonge,(rijmend) gedicht,1,1,0.0,1,1,0,0,770
KW XKR 7183,1910,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,716
KW Ki 6002,1910,0,1.0,3,0,Anna Maria van Gogh-Kaulbach,verhaal,1,0,1.0,0,1,0,0,1629
KW BJ Z1811,1910,0,1.0,3,0,Cornelia Broers-de Jonge,(rijmend) gedicht,1,0,1.0,1,1,0,0,269
KW XKW 3181,1910,0,1.0,3,0,Marie Cramer,(rijmend) gedicht,1,1,1.0,1,1,0,0,896
KW XKZ 0055,1910,1,0.0,3,0,Anonymous,verhaal,1,0,0.0,1,1,0,0,1043
KW XKW 2089,1910,1,0.0,3,1,Robert Hertwig,verhaal,0,0,0.0,1,1,1,1,1438
KW XKW 2950,1910,1,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,282
KW XKW 2972,1910,1,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,403
KW XKW 2389,1910,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,1,1,652
KW Ki 2748,1910,1,0.0,3,0,J.D.,verhaal,0,0,0.0,0,0,0,0,1638
Borms 0284,1911,0,1.0,3,0,Anonymous,picture book,1,1,1.0,1,1,0,0,282
KW BJ 25723,1911,1,0.0,3,1,Anonymous,verhaal,0,1,0.0,1,1,0,0,937
KW BJ 52072,1912,1,0.0,3,1,Christine Doorman,verhaal,0,0,0.0,0,1,0,1,1714
KW Ki 8628,1912,1,0.0,3,1,Simon Abramsz,verhaal,0,0,0.0,1,1,0,0,1202
KW BJ 01920,1913,1,0.0,3,1,Albertine Steenhoff-Smulders,verhaal,0,0,0.0,1,1,0,0,1693
KW BJ 00123,1914,1,0.0,3,0,Henriëtte Sophia Blaauw-Van den Dries,verhaal,0,0,0.0,1,1,0,0,823
KW BJ 52069,1916,1,0.0,3,1,Christine Doorman,verhaal,1,0,0.0,0,1,0,0,2132
KW BJ 25759,1917,0,0.0,3,0,Johanna Wildvanck,verhaal,1,1,0.0,1,1,0,0,9142
KW Ki 5533,1918,0,0.0,3,0,Henriëtte Sophia Blaauw-Van den Dries,verhaal,0,0,0.0,0,0,0,0,1591
KW Ki 1867,1919,1,0.0,3,1,Henriëtte Sophia Blaauw-Van den Dries,verhaal,0,0,0.0,1,1,0,0,415
XKZZ 109,1919,1,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,605
KW XZZ 065,1919,0,1.0,3,0,Anonymous,verhaal,0,0,1.0,1,1,0,0,2562
KW XKR 1949,1920,0,1.0,3,0,Tante Marie,(rijmend) gedicht,0,0,1.0,1,1,0,0,261
KW XKN 167,1920,0,1.0,3,0,Anonymous,verhaal,0,0,1.0,0,0,0,0,464
KW XKR 0948,1920,0,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,4210
KW BJ Z0235,1920,1,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,947
KW XKR 9255,1920,0,1.0,3,1,Anonymous,picture book,1,1,1.0,1,1,0,0,67
KW XKZZ 101,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,765
KW XKN 313,1920,1,0.0,3,1,Joop Zoomers,verhaal,0,0,0.0,1,1,0,0,1068
KW XKR 1422,1920,0,1.0,3,1,Anonymous,verhaal,0,0,1.0,1,1,0,0,136
KW XKR 2114,1920,0,1.0,3,1,Anonymous,(rijmend) gedicht,1,1,1.0,1,1,0,0,365
KW BJ Z0550,1920,1,0.0,3,0,Henriëtte Sophia Blaauw-Van den Dries,verhaal,1,1,0.0,1,1,0,0,1334
KW BJ 26561,1920,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,943
KW BJ Z1842,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,1307
KW XKP 588,1920,1,0.0,3,1,K. Lauwers,verhaal,0,0,0.0,1,1,0,0,972
NBM Mfe 24774,1920,1,0.0,3,0,Marie de Koning,verhaal,0,0,0.0,0,0,0,0,1888
KW XKZ 0533,1920,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,0,0,0,0,1188
KW XKZ 0701,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,1,0,0,536
KW BJ 53276,1920,0,1.0,3,1,H.G.C. Marsh-Lambert,verhaal,1,1,1.0,1,1,0,0,80
KW XKR 2408,1920,1,0.0,3,0,Anonymous,verhaal,1,0,0.0,1,1,0,0,1004
KW XKE 799,1920,0,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,0,0,0,687
KW XKR 1356,1920,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,0,1,0,1,655
KW GW A104682,1920,1,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,860
KW XKW 3125,1920,1,0.0,3,0,Anonymous,verhaal,1,0,0.0,1,1,1,0,1082
KW BJ Z2007,1920,0,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,779
NBM Mfe 24338,1925,1,0.0,3,0,Enid Mary Blyton,verhaal,0,0,0.0,0,0,0,0,995
KW BJ 53000,1929,1,0.0,3,0,Felix Louis Ortt,verhaal,0,1,0.0,1,1,0,0,1575
KW GW A100156,1930,1,0.0,3,0,Marie Cramer,verhaal,1,0,0.0,0,1,0,0,2193
KW XKZ 0531,1930,1,0.0,3,0,Anonymous,verhaal,1,1,0.0,1,1,0,0,546
KW BJ 10252,1930,1,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,545
KW XKZ 1761,1930,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,1,1,0,0,8162
KW BJ Z0306,1930,1,0.0,3,1,Anonymous,picture book,1,1,0.0,1,1,0,0,716
KW SMC K 2140,1930,0,0.0,3,0,Anonymous,verhaal,0,1,0.0,1,1,0,0,1003
KW XKR 9761,1930,0,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,1057
KW XKR 6917,1930,0,0.0,3,1,Anonymous,verhaal,0,1,0.0,1,1,0,0,756
KW XKW 0617,1930,0,1.0,3,1,Anonymous,verhaal,1,0,1.0,1,1,0,0,170
KW XKZ 1238,1932,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,845
KW GW A100253,1932,1,0.0,3,0,Christine Doorman,verhaal,1,0,0.0,0,1,0,0,2197
KW XKR 4807,1934,1,0.0,3,0,Brugt Jan Douwes,verhaal,1,0,0.0,1,1,0,0,1299
KW XKZ 0177,1935,0,1.0,3,1,Walter Elias Disney,verhaal,1,0,1.0,1,1,0,0,1076
KW XKP 242,1936,1,0.0,3,0,Matthijs Hubertus Maria Dorenbosch,verhaal,1,1,0.0,1,1,0,0,978
KW 1087 A 117,1937,1,0.0,3,1,Nienke van Hichtum,verhaal,0,0,0.0,0,0,0,0,2233
KW XKZ 0045,1937,0,0.0,3,0,Leonard Roggeveen,verhaal,0,0,0.0,0,0,0,0,1960
KW XKZ 0652,1940,0,0.0,3,0,Anonymous,verhaal,0,0,0.0,1,1,0,0,827
KW XKD 710,1940,1,0.0,3,1,Anonymous,verhaal,0,0,0.0,1,1,0,0,452
KW Ki 2003,1940,0,1.0,3,0,Willy Schermelé,verhaal,0,0,0.0,1,1,0,0,1932
KW XKW 2039,1942,0,1.0,3,1,Sjoert Schwitters,picture book,1,0,1.0,1,1,0,0,376
KW XKP 457,1943,0,0.0,3,1,Wilhelmina Schermelé,verhaal,1,1,0.0,1,1,0,0,1165
KW XKR 5389,1943,0,0.0,3,1,Ko Koster,(rijmend) gedicht,1,0,0.0,1,1,0,0,1992
KW XKW 0422,1943,0,1.0,3,1,Anonymous,picture book,1,1,1.0,1,1,0,0,52
KW BJ 03351,1943,1,0.0,3,0,Anonymous,verhaal,0,0,0.0,1,0,0,0,1151
KW XKR 2633,1943,1,0.0,3,1,Anonymous,verhaal,1,0,0.0,1,1,0,0,342
